year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,FED,cpi
1975-01-01,174.84158986361862,169.22298697803993,177.66450037914115,137.78991727076126,78.18995531218043,95.69122284712124,119.33212633799882,91.18856392566789,130.91927969372497,156.51988965818845,140.449518913485,128.32577926141983,161.08476148356516,152.33218356284718,123.82312033996648,156.9087203077095,164.0709808718865,151.88891662239322,163.35164417027264,73.24402945027316,127.30704295967476,132.28018696704856,117.6368247060872,124.75242559232174,151.32511218058772,193.74653604333022,130.97760429115314,138.23707251771046,192.5100545778534,145.593748406648,109.93408953907593,105.56363303845973,135.600800713958,137.47107613815405,110.14016978332207,145.7376157469708,176.9373870645369,100.92488338967405,138.82031849199197,101.87363017450532,149.76201296951328,167.09608332516,153.9691605973306,158.4873727447648,119.6354142446252,134.30210634455779,135.45304506714,84.5045650604017,137.68493299539062,214.319565709487,157.96245136791143,114.24233313576875,22.7058256018204
1976-01-01,183.39734112877989,169.86941551299714,179.29005846696163,133.34511947016748,85.5726786981507,96.90539594409867,119.30975875381989,96.57078294300155,128.024405046129,150.30742467962813,133.33776533827523,123.86932052701115,167.79187325343813,153.43293073383185,129.71217831539894,155.92965851124868,166.0930687863298,150.66042301045584,168.59347362969274,71.72484834505532,130.50274749381518,124.53119239731309,114.0258149892426,123.45748914104549,149.06825345578508,184.4085342639634,136.60667696437767,134.97773675024564,205.16924859576815,150.75234965910892,110.23843706473696,104.43970406770259,135.7572747308235,140.0925354813013,104.12715346228221,147.2738452740775,182.07359738817595,109.03971356630119,139.48214253424507,104.31836089148055,143.39086363497273,163.37939411809177,153.24540037057963,160.2134403384808,124.27747484703072,131.77501231117338,132.45894657715212,89.57332644753143,137.83113992443626,212.67414019180305,166.74758652473955,116.18792976556233,24.0102327399863
1977-01-01,186.29482359233936,168.83853114112048,183.29107073779815,134.79945137914126,100.56012142685934,102.20355402313704,119.83247594875486,106.30523033485542,125.17708447614542,144.38383979776935,130.21786512859396,118.76907838645751,177.64953951444147,158.3115857922743,136.4187158490032,159.37498335457164,175.66084796936585,155.2594966849014,176.9624742063337,71.68266294940787,133.0248203823204,123.17803516260592,115.40280363567857,128.91278630213807,153.27425772931377,181.5337026884171,147.67415757981286,134.24703706106476,210.48711813460412,155.87405761376155,112.86860295150238,103.65709419757597,147.52914882131768,146.7143377021548,101.59589827325286,151.55141557481255,190.09957720809157,122.6428837919693,140.48586626584174,106.31558810331937,143.28591634059222,166.82221888014107,155.2871174008052,165.40665719006995,131.35031448065084,132.91779010819303,133.33210084675045,99.71768959179259,147.07685959839253,211.39169658045446,180.39434815738426,122.28381448521952,25.571302199139
1978-01-01,189.72872728493607,172.61830508668345,185.86974005124696,145.1947956429524,110.73657381062588,113.00769846686191,126.80125216999018,117.49862292834551,122.66960166542526,149.1243545467506,130.53192727620836,125.88702826175961,185.77992156201728,171.40254767889613,145.09214594097566,167.59488529619534,183.28425068270712,159.3283764838787,193.47223360390137,73.32396524328053,136.02689413515225,134.1663682868233,122.8941478884994,138.90750139687532,161.8144239536286,188.98451694560453,162.65807619175015,137.1079238090951,216.57162435186106,162.75751809054015,117.38634981680843,105.80618031255423,156.68835446116375,164.22348414689588,100.13799208152454,158.71247827201807,210.4286812491888,136.04934875745965,144.55002720241083,109.94424642349271,145.3263155736102,173.76669862754855,158.9338166919055,176.3970972407033,142.41363028001928,136.69732500118803,138.06705696194055,114.14967640135339,154.8984002829438,217.8996548711855,195.53805885618385,129.71714526676774,27.5226390230799
1979-01-01,190.96690542848867,170.27920844743107,186.69385080466606,159.18137629689573,116.70167739488585,118.65079003031369,129.8322379595878,125.32563581583959,118.20676141218367,152.69971179328357,130.42331501618938,143.8623889714102,181.2732417002217,168.8692734197325,140.16599489061358,165.530408875612,179.67589199603967,158.87286290637684,201.32661208395064,76.30948965862999,135.44891164866092,127.30358147841878,127.74761009654877,141.16650093276368,163.69662834878932,187.8644717070088,156.64118660486628,136.45518429624136,205.5564171670464,163.26413294151982,119.36008249823567,106.52361881047702,161.77634874051276,174.80311040746997,96.13219582514859,156.99294953611212,218.72157736432982,138.59747821358286,142.58796917132275,113.20999780686341,143.82490603611353,161.59758397217476,153.55893600239233,184.21997707508453,145.44532216201657,135.66515935229566,134.14854212413732,119.32548286565412,149.40698009260518,210.09761894337603,206.79912063726738,132.34359462446596,30.6201664859483
1980-01-01,169.9014887941493,157.69021604551583,173.75607644905168,158.85573365658317,117.65887587454343,116.16579449043105,118.71266630720775,122.28285750799357,119.57347343172157,152.5685406173616,127.4629357794039,151.4563473414412,162.8652158088169,160.05934007846966,125.13951831943305,150.78344501696873,167.7202695612368,146.4870271565637,191.11441716638546,74.07511928116759,130.59891453685077,114.05567437104773,117.8747124691855,133.87709152135605,156.21237018573112,168.35762232894467,146.4616346160176,129.40800438523735,188.09016558734152,154.46028488804822,111.26503416502817,106.3211065206968,156.63388635879687,168.78929551822884,91.8676724418402,143.4602363234652,212.4644652575708,129.23279585546905,134.10054587816197,105.02100844473506,137.40157614915876,155.48106501800262,143.4881681180659,182.60283757532306,137.05115908962216,132.4068634237352,127.00840930362811,115.63255113896233,135.57077397578283,195.91868583771313,191.56132587999733,128.06727824440173,34.768954688201
1981-01-01,178.44211748883237,145.06246839604933,164.82697655992277,153.29231017457886,116.29024190970257,111.42045857542728,115.13263273336021,114.41459284664288,110.7921736745496,148.59052976251627,123.60182114079548,112.99462294246146,142.72883876421795,144.96811059042307,117.98407959118961,141.0050827541177,158.18971042757406,131.87999252708482,185.73528544077868,74.61401015148361,127.61547999475395,109.5678236113008,109.5724264310875,125.01718822519027,138.63463056399314,158.59245715890592,140.07991597700112,120.91147297549878,166.72333831202243,143.35021943541568,102.21942182191471,102.44035717167392,149.40292745485993,165.92935189882533,91.70888283910031,132.33797309585646,204.70810860134836,111.76106723963939,125.88021693518705,95.67191067540561,135.35512146600527,133.4357456149724,137.38036217213116,177.88057347486114,129.7857095241593,125.8295859175339,115.85067262007752,107.59551533272146,120.59617982011329,183.79289549081253,182.69052015191,122.63753039549239,38.3622271820165
1982-01-01,197.53737565572732,138.68122994079198,152.47258970598938,147.01676247812202,111.47798964921935,112.62726962965245,109.60661488862732,104.65603716159183,106.96543938642438,152.19285929565757,123.06836982924771,116.9728490273656,131.93951020651545,140.39213919468202,107.16060013781872,128.82561199537966,150.60772030377717,127.30552658729736,182.85478179249588,73.72956342397454,122.08172380830983,102.24471765547551,96.98405117900244,120.4900794580496,130.70566056714478,149.77937133674803,125.23031726413792,118.85289759913074,144.1760893189382,140.42683443937437,101.65706694849933,99.1286509915465,149.15485693228624,163.44062393434928,90.96225777209152,121.70658147507416,210.65651505501103,106.3799571322415,119.18250242370782,90.39629159304806,129.1465430087836,126.17576268200368,132.78737524868401,181.01593382380295,123.69071578091621,118.10911829103911,109.38760115650703,99.44524509936393,111.25247055871925,145.66364793512147,176.37544484620503,118.14598198852471,40.7143791373614
1983-01-01,210.60871329845574,139.51430117098238,161.4462308438065,148.66188444480898,109.41593691263593,112.46233005619331,112.59679154666753,99.28090206813903,112.93924815521912,149.6157206428607,124.40839310051533,129.0431126002998,130.73018411359394,139.86095970111128,107.59860583044485,126.33497414371676,146.89077449996844,128.52207432471207,180.90953158995478,79.43942838003183,121.40612013351986,106.60275041661995,95.33319674624644,119.14968824649877,132.9551015887851,156.49846818651162,127.56193524429429,119.45642852164316,158.79481832851727,139.35883007262152,103.4071890570677,101.29362250367552,149.92035995721645,157.3136409725118,99.27249822498437,123.82852792284505,212.1172031447138,104.43876080429986,121.58890372213331,97.50348924093247,131.5936789977333,129.69020852320713,133.2849524326048,181.76462263093956,125.93369063308262,124.61218629701538,112.0232292513633,97.20725376973137,115.95622784773524,160.0448899977701,164.64389316414736,119.00262099129259,42.0223021977326
1984-01-01,206.97076874097849,141.04565687269027,156.35257831876467,146.9859268219564,107.70843487867384,109.0056657526404,120.81368963958448,102.81964709743653,116.3821555980838,147.1954175221001,125.9703837969671,125.74477842758162,126.62302790126078,134.5695741711336,107.50700151315107,123.55116907703876,143.47292892723954,125.67830541695909,174.960992625757,91.48902028678135,122.89248197177938,116.84142367147572,93.01387086378865,116.16662189697445,132.93192090943361,151.5866648904962,124.49387722768525,122.66889093604907,169.11942502559702,136.28578644538752,112.14601192114023,107.89375357495484,149.2701811869845,148.85321412035242,111.19726076952801,120.44909524798831,199.1188961529013,97.39706089756386,123.29132003551439,100.34201670150658,129.75934540245015,137.37755528652087,129.1328876356744,181.25175663103275,120.28996288922531,126.4679242098083,116.59164629822746,96.50873975560854,113.241809429584,154.37248833567594,152.59584605176522,119.38754141168336,43.8294862112563
