Month,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States not seasonally adjusted
1975M01,34.49,35.72,37.17,28.88,15.75,19.70,24.62,18.73,27.29,30.99,30.77,27.33,32.98,32.49,25.75,32.64,33.56,31.41,33.00,15.91,26.69,28.09,24.54,25.41,30.60,42.90,26.55,28.38,40.55,31.13,22.86,22.81,27.87,27.48,23.88,30.45,37.64,19.59,28.96,20.24,31.75,37.49,32.36,32.69,24.72,27.88,27.94,17.48,27.75,40.71,31.32,23.60
1975M02,34.99,35.92,37.45,29.37,15.81,19.91,25.07,18.72,27.30,32.24,30.40,27.23,33.52,32.43,25.82,33.13,33.91,31.50,33.57,15.76,26.68,27.93,24.90,25.71,32.02,42.44,26.88,28.77,40.31,31.08,23.18,22.33,28.28,27.93,23.33,30.42,37.61,20.08,29.26,20.62,31.92,37.07,32.32,33.00,25.05,28.18,28.25,17.59,28.18,41.79,31.81,23.75
1975M03,35.50,36.15,37.68,29.84,16.01,20.13,25.40,18.73,27.35,34.04,30.22,27.18,34.01,32.38,26.01,33.59,34.30,31.58,34.15,15.63,26.68,27.81,25.19,25.97,33.45,42.05,27.22,29.09,40.13,31.02,23.46,22.06,28.66,28.37,23.08,30.54,37.62,20.55,29.51,21.02,32.03,36.65,32.33,33.56,25.35,28.40,28.55,17.73,28.60,42.92,32.32,23.99
1975M04,36.04,36.42,37.86,30.20,16.32,20.35,25.59,18.81,27.48,36.21,30.25,27.20,34.39,32.34,26.26,33.94,34.72,31.70,34.59,15.54,26.74,27.75,25.35,26.19,34.62,41.76,27.57,29.35,40.07,30.97,23.68,22.06,28.95,28.78,23.07,30.76,37.62,20.98,29.70,21.41,32.05,36.23,32.42,34.39,25.58,28.55,28.82,17.87,28.97,44.08,32.84,24.32
1975M05,36.62,36.66,38.05,30.37,16.58,20.54,25.66,18.99,27.71,36.35,30.36,27.28,34.60,32.35,26.38,34.12,35.12,31.97,34.83,15.50,26.87,27.78,25.39,26.44,34.58,41.59,27.89,29.55,40.15,30.92,23.79,22.23,29.14,29.16,23.19,31.02,37.57,21.38,29.93,21.78,32.04,35.85,32.54,34.61,25.73,28.68,29.04,17.99,29.27,45.26,33.35,24.51
1975M06,37.25,36.75,38.26,30.30,16.69,20.69,25.66,19.26,27.98,34.61,30.42,27.40,34.72,32.39,26.44,34.12,35.42,32.40,34.96,15.52,27.05,27.92,25.33,26.71,33.50,41.51,28.15,29.67,40.37,30.89,23.81,22.47,29.30,29.48,23.46,31.29,37.55,21.78,30.21,22.09,32.07,35.56,32.69,34.18,25.76,28.83,29.22,18.12,29.51,46.39,33.84,24.55
1975M07,37.88,36.62,38.44,29.97,16.80,20.79,25.64,19.58,28.22,33.34,30.36,27.53,34.83,32.45,26.56,33.96,35.59,32.88,35.17,15.60,27.26,28.17,25.30,27.03,32.54,41.38,28.37,29.75,40.73,30.90,23.74,22.76,29.43,29.75,23.76,31.49,37.60,22.13,30.38,22.29,32.15,35.38,32.86,33.94,25.70,29.04,29.36,18.27,29.71,47.37,34.31,24.60
1975M08,38.47,36.36,38.51,29.48,17.02,20.78,25.64,19.90,28.41,32.79,30.15,27.63,34.92,32.54,26.70,33.69,35.73,33.24,35.47,15.68,27.49,28.49,25.39,27.35,31.97,41.14,28.53,29.88,41.24,30.98,23.63,22.98,29.50,29.99,23.90,31.57,37.76,22.39,30.29,22.43,32.28,35.24,33.03,33.97,25.61,29.22,29.44,18.35,29.92,48.13,34.74,24.70
1975M09,38.98,36.10,38.44,28.99,17.26,20.69,25.68,20.19,28.58,32.70,29.82,27.72,34.95,32.65,26.82,33.43,35.81,33.45,35.75,15.76,27.65,28.82,25.44,27.57,31.65,40.86,28.68,30.04,41.88,31.16,23.56,23.04,29.48,30.25,23.90,31.62,37.99,22.55,29.85,22.50,32.37,35.12,33.27,34.09,25.60,29.27,29.46,18.34,30.19,48.62,35.11,24.79
1975M10,39.43,35.98,38.31,28.74,17.47,20.67,25.77,20.42,28.71,32.87,29.55,27.80,34.99,32.86,26.98,33.38,35.83,33.54,35.98,15.80,27.81,29.07,25.33,27.61,31.41,40.71,28.82,30.20,42.58,31.45,23.56,23.00,29.41,30.52,23.90,31.74,38.30,22.64,29.31,22.54,32.34,35.04,33.62,34.21,25.79,29.21,29.45,18.36,30.50,48.78,35.38,24.87
1975M11,39.84,36.09,38.31,28.90,17.62,20.81,25.96,20.55,28.80,33.13,29.45,27.86,35.10,33.22,27.21,33.60,35.90,33.52,36.19,15.82,28.09,29.19,25.20,27.50,31.33,40.79,28.98,30.37,43.24,31.78,23.65,22.91,29.36,30.79,23.90,31.91,38.70,22.70,29.42,22.54,32.18,35.02,34.08,34.39,26.18,29.12,29.43,18.50,30.72,48.68,35.56,24.99
1975M12,40.17,36.44,38.44,29.33,17.76,21.04,26.21,20.64,28.87,33.27,29.46,27.87,35.27,33.67,27.52,33.94,36.07,33.44,36.45,15.85,28.40,29.18,25.18,27.35,31.51,41.15,29.21,30.47,43.85,32.16,23.81,22.84,29.36,31.05,23.89,32.00,39.09,22.79,30.20,22.54,31.98,35.09,34.46,34.57,26.61,29.02,29.40,18.73,30.78,48.46,35.67,25.14
1976M01,40.44,36.98,38.67,29.74,17.95,21.26,26.44,20.78,28.90,33.23,29.49,27.87,35.58,34.11,27.85,34.25,36.30,33.39,36.72,15.87,28.66,29.07,25.22,27.23,31.96,41.65,29.51,30.46,44.38,32.62,24.04,22.88,29.44,31.29,23.80,32.02,39.41,22.91,30.89,22.56,31.78,35.29,34.61,34.68,26.99,28.95,29.38,18.97,30.71,48.21,35.77,25.29
1976M02,40.66,37.59,38.99,30.03,18.16,21.44,26.61,20.98,28.88,33.24,29.48,27.88,36.05,34.43,28.11,34.48,36.57,33.37,37.00,15.91,28.84,28.95,25.28,27.19,32.76,42.04,29.85,30.31,44.81,33.13,24.28,23.01,29.60,31.47,23.65,32.14,39.74,23.06,31.31,22.65,31.60,35.60,34.54,34.96,27.33,29.00,29.37,19.20,30.62,48.05,35.89,25.44
1976M03,40.87,38.10,39.43,30.17,18.42,21.62,26.73,21.20,28.85,33.80,29.46,27.87,36.59,34.61,28.36,34.67,36.85,33.39,37.30,15.99,28.99,28.85,25.41,27.25,33.94,42.18,30.22,30.19,45.16,33.60,24.46,23.20,29.82,31.58,23.48,32.41,40.10,23.29,31.52,22.83,31.51,36.00,34.44,35.67,27.61,29.19,29.39,19.41,30.57,48.02,36.08,25.66
1976M04,41.06,38.42,39.94,30.20,18.72,21.81,26.81,21.41,28.87,35.05,29.54,27.86,37.17,34.67,28.66,34.91,37.13,33.50,37.65,16.08,29.13,28.75,25.59,27.39,35.21,42.06,30.57,30.19,45.46,33.99,24.58,23.46,30.08,31.64,23.36,32.82,40.43,23.61,31.60,23.08,31.62,36.40,34.49,36.66,27.84,29.43,29.47,19.59,30.66,48.07,36.34,25.95
1976M05,41.25,38.57,40.37,30.17,18.95,21.94,26.89,21.62,28.94,35.39,29.76,27.85,37.71,34.71,29.08,35.22,37.40,33.70,37.96,16.12,29.28,28.61,25.72,27.54,35.38,41.78,30.86,30.27,45.77,34.24,24.67,23.76,30.35,31.68,23.37,33.24,40.74,23.97,31.69,23.36,31.96,36.77,34.64,36.96,28.01,29.66,29.62,19.81,30.87,48.14,36.67,26.15
1976M06,41.43,38.64,40.68,30.14,19.19,22.03,27.00,21.84,28.98,34.50,30.17,27.90,38.12,34.75,29.57,35.53,37.63,34.00,38.14,16.13,29.50,28.39,25.81,27.73,34.54,41.52,31.07,30.41,46.11,34.32,24.80,24.02,30.62,31.75,23.52,33.54,41.12,24.40,31.92,23.65,32.40,37.07,34.72,36.57,28.11,29.86,29.81,20.11,31.08,48.19,37.13,26.29
1976M07,41.60,38.71,40.96,30.14,19.48,22.05,27.16,22.05,29.00,33.88,30.60,28.04,38.41,34.73,29.90,35.74,37.77,34.29,38.25,16.21,29.78,28.13,25.91,28.02,33.83,41.41,31.22,30.57,46.47,34.31,24.97,24.16,30.88,31.83,23.71,33.76,41.53,24.86,32.13,23.89,32.79,37.35,34.74,36.37,28.23,30.00,30.02,20.50,31.22,48.20,37.70,26.46
