,year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States not seasonally adjusted
0,1975-01-01,37.47166666666667,36.2675,38.07666666666667,29.53083333333333,16.757499999999997,20.508333333333333,25.575,19.543333333333333,28.05833333333333,33.544999999999995,30.100833333333334,27.5025,34.52333333333333,32.6475,26.537499999999994,33.62833333333334,35.16333333333333,32.5525,35.009166666666665,15.697499999999998,27.284166666666664,28.350000000000005,25.211666666666666,26.736666666666668,32.431666666666665,41.52333333333333,28.070833333333336,29.626666666666665,41.25833333333333,31.20333333333333,23.56083333333333,22.624166666666664,29.06166666666667,29.4625,23.605,31.23416666666667,37.92083333333334,21.63,29.75166666666667,21.83333333333333,32.09666666666667,35.81166666666667,32.99833333333333,33.96666666666667,25.64,28.78333333333333,29.03,18.110833333333336,29.508333333333336,45.9325,33.854166666666664,24.484166666666663
1,1976-01-01,41.56333333333333,38.4975,40.6325,30.22,19.39333333333333,21.96166666666667,27.03916666666667,21.88583333333333,29.01416666666667,34.06416666666666,30.21833333333333,28.072500000000005,38.02666666666666,34.7725,29.396666666666665,35.33833333333333,37.641666666666666,34.144166666666656,38.20833333333333,16.254999999999995,29.575833333333332,28.2225,25.84166666666667,27.97916666666667,33.78333333333334,41.7925,30.959166666666665,30.59,46.4975,34.165,24.98333333333333,23.66916666666667,30.766666666666666,31.749166666666664,23.59833333333333,33.37666666666666,41.263333333333335,24.711666666666666,31.610833333333336,23.641666666666666,32.49666666666667,37.02666666666666,34.730000000000004,36.30916666666667,28.165000000000006,29.864166666666666,30.01916666666667,20.3,31.23666666666666,48.19833333333333,37.79,26.33166666666667
2,1977-01-01,44.965,40.75166666666667,44.24,32.53583333333333,24.27166666666667,24.66833333333333,28.923333333333336,25.65833333333333,30.21333333333333,34.84916666666667,31.430000000000003,28.66666666666667,42.878333333333345,38.21083333333333,32.92666666666668,38.4675,42.39833333333333,37.47416666666667,42.7125,17.301666666666666,32.1075,29.73083333333333,27.85416666666667,31.115,36.995,43.81583333333333,35.643333333333345,32.4025,50.80416666666667,37.6225,27.2425,25.019166666666663,35.60833333333333,35.41166666666667,24.521666666666665,36.579166666666666,45.88333333333333,29.60166666666667,33.90833333333333,25.66083333333334,34.58416666666667,40.26499999999999,37.48083333333333,39.92333333333333,31.70333333333333,32.08166666666666,32.181666666666665,24.06833333333333,35.49916666666667,51.02250000000001,43.54083333333333,29.515
3,1978-01-01,49.28833333333333,44.84333333333333,48.285833333333336,37.71916666666667,28.7675,29.3575,32.94083333333334,30.524166666666666,31.867500000000003,38.74,33.910000000000004,32.70333333333334,48.2625,44.5275,37.69250000000001,43.53833333333333,47.61416666666667,41.39083333333333,50.26083333333333,19.048333333333336,35.3375,34.854166666666664,31.92583333333333,36.08583333333333,42.03666666666667,49.095,42.255833333333335,35.61833333333333,56.26166666666666,42.281666666666666,30.495,27.486666666666668,40.70500000000001,42.6625,26.01416666666667,41.23083333333333,54.66583333333333,35.34333333333333,37.55166666666667,28.56166666666667,37.753333333333345,45.14166666666666,41.28833333333333,45.825,36.996666666666655,35.51166666666667,35.86750000000001,29.654166666666654,40.24,56.60666666666666,50.79750000000001,33.69833333333333
4,1979-01-01,55.19333333333334,49.21416666666667,53.95833333333334,46.00666666666666,33.72916666666667,34.2925,37.52416666666668,36.22166666666667,34.16416666666667,44.13333333333333,37.695,41.579166666666666,52.39166666666667,48.80666666666667,40.51083333333333,47.84166666666667,51.93000000000001,45.9175,58.1875,22.055000000000003,39.1475,36.793333333333344,36.92166666666667,40.8,47.31166666666667,54.29666666666666,45.2725,39.43833333333335,59.41000000000002,47.18666666666667,34.4975,30.787500000000005,46.75666666666667,50.52166666666666,27.78416666666667,45.37416666666667,63.215,40.0575,41.21083333333333,32.72,41.568333333333335,46.70500000000001,44.38166666666667,53.24333333333334,42.03666666666667,39.21,38.77166666666667,34.487500000000004,43.18166666666667,60.7225,59.76916666666667,38.25
5,1980-01-01,55.75833333333333,51.75083333333333,57.02333333333334,52.13333333333333,38.61333333333333,38.123333333333335,38.959166666666654,40.13083333333334,39.24166666666667,50.06999999999999,41.830833333333345,49.70500000000001,53.44916666666666,52.52833333333333,41.068333333333335,49.48416666666666,55.0425,48.07416666666666,62.72,24.31,42.85999999999999,37.43083333333333,38.684166666666655,43.93583333333334,51.26583333333333,55.25166666666667,48.06583333333333,42.46916666666667,61.7275,50.69083333333333,36.51500000000001,34.89249999999999,51.40416666666666,55.39333333333333,30.14916666666667,47.08083333333335,69.72666666666667,42.41166666666667,44.00916666666666,34.46583333333334,45.0925,51.02583333333334,47.09,59.92666666666668,44.97749999999999,43.45333333333333,41.68166666666666,37.94833333333333,44.49166666666667,64.29666666666668,62.86666666666667,42.02916666666667
6,1981-01-01,64.61333333333333,52.526666666666664,59.68333333333332,55.50666666666667,42.10833333333333,40.345,41.689166666666665,41.42916666666667,40.1175,53.80416666666667,44.75583333333333,40.915000000000006,51.68166666666666,52.49250000000001,42.72166666666666,51.0575,57.28000000000001,47.75333333333333,67.25416666666666,27.017499999999995,46.20916666666666,39.67416666666666,39.675833333333344,45.26833333333334,50.19916666666666,57.42583333333334,50.7225,43.78166666666666,60.37,51.90666666666666,37.013333333333335,37.09333333333335,54.098333333333336,60.08249999999999,33.2075,47.91916666666666,74.12416666666665,40.46833333333335,45.58083333333333,34.6425,49.01166666666666,48.31666666666666,49.74500000000001,64.41000000000001,46.99500000000001,45.5625,41.949166666666656,38.96,43.6675,66.55083333333333,66.15166666666669,44.40666666666666
7,1982-01-01,75.91333333333333,53.295,58.59499999999999,56.49833333333334,42.840833333333336,43.28249999999999,42.12166666666667,40.21916666666667,41.106666666666655,58.4875,47.295,44.95249999999999,50.70416666666667,53.95249999999999,41.181666666666665,49.5075,57.87833333333333,48.92333333333334,70.27083333333333,28.334166666666665,46.91583333333333,39.2925,37.270833333333336,46.30416666666665,50.23,57.56,48.12583333333333,45.675,55.40666666666666,53.96583333333334,39.066666666666656,38.095,57.31999999999999,62.81,34.95666666666666,46.77166666666668,80.955,40.88166666666667,45.80166666666668,34.73916666666667,49.63083333333333,48.48916666666668,51.03,69.56416666666668,47.53416666666667,45.38916666666666,42.0375,38.21666666666667,42.754166666666656,55.97833333333333,67.78083333333333,45.40333333333333
8,1983-01-01,83.53666666666666,55.33750000000001,64.03666666666668,58.96583333333333,43.39916666666666,44.60750000000001,44.660833333333336,39.37916666666667,44.79666666666666,59.34416666666666,49.34583333333333,51.18416666666667,51.85333333333333,55.475,42.678333333333335,50.11000000000001,58.26333333333334,50.9775,71.75666666666666,31.50916666666667,48.155,42.283333333333346,37.81333333333333,47.26,52.73583333333333,62.07416666666666,50.59666666666666,47.38166666666667,62.98500000000001,55.27583333333334,41.01583333333333,40.1775,59.465,62.3975,39.37583333333333,49.11583333333332,84.135,41.425,48.2275,38.67416666666667,52.19583333333333,51.44083333333334,52.86666666666667,72.09583333333335,49.95083333333333,49.42666666666667,44.43333333333334,38.556666666666665,45.99333333333333,63.48083333333333,65.305,47.20166666666668
9,1984-01-01,85.62416666666667,58.35083333333333,64.68333333333334,60.80833333333334,44.55916666666666,45.09583333333333,49.98083333333333,42.53666666666667,48.147499999999994,60.895,52.11416666666667,52.02083333333334,52.38416666666666,55.67166666666667,44.47583333333333,51.11333333333334,59.35500000000001,51.99333333333334,72.38166666666666,37.849166666666655,50.84083333333334,48.33750000000001,38.48,48.05833333333333,54.99416666666667,62.71166666666666,51.50333333333333,50.74833333333333,69.96499999999999,56.38166666666666,46.395,44.63583333333335,61.75333333333334,61.58083333333335,46.0025,49.83000000000001,82.3758333333333,40.29333333333333,51.00583333333333,41.511666666666656,53.68166666666666,56.83333333333334,53.42250000000001,74.98416666666667,49.76416666666666,52.32,48.23416666666666,39.925833333333344,46.84833333333333,63.86416666666667,63.12916666666666,49.39083333333333
